Champion,,Best Partner,Counters ,Countered by
Ivern,,Jhin+6.8%,Elise+3.5%,Elise+3.5%
Jungler,,,,
Janna,51.50%,Lillia,Yuumi,Senna
Janna,,Lillia+7.8%,Yuumi+7.7%,Senna-4.9%
Support,,,,
Jarvan IV,47.60%,Soraka,Kindred,Master Yi
Jarvan IV,,Soraka+6.6%,Kindred+4.4%,Master Yi-9.0%
Jungler,,,,
Jax,50.50%,Amumu,Warwick,Sion
Jax,,Amumu+6.1%,Warwick+8.3%,Sion-7.6%
Top,,,,
Jayce,49.90%,Swain,Akali,Akshan
Jayce,,Swain+7.4%,Akali+7.0%,Akshan-6.0%
"Top, Mid",,,,
Jhin,50.50%,Cassiopeia,Aphelios,Seraphine
Jhin,,Cassiopeia+6.6%,Aphelios+4.4%,Seraphine-7.1%
AD Carry,,,,
Jinx,51.10%,Ziggs,Aphelios,Tristana
Jinx,,Ziggs+8.6%,Aphelios+4.3%,Tristana-2.9%
AD Carry,,,,
K'Sante,48.10%,Rek'Sai,Gragas,Rengar
K'Sante,,Rek'Sai+10.0%,Gragas+9.1%,Rengar-5.1%
Top,,,,
Kai'Sa,50.20%,Kled,Ziggs,Karthus
Kai'Sa,,Kled+7.0%,Ziggs+4.5%,Karthus-4.9%
AD Carry,,,,
Kalista,47.10%,Ekko,Ezreal,Draven
Kalista,,Ekko+9.9%,Ezreal+3.9%,Draven-3.7%
AD Carry,,,,
Karma,50.00%,Xin Zhao,Yuumi,Blitzcrank
Karma,,Xin Zhao+6.9%,Yuumi+6.9%,Blitzcrank-5.4%
Support,,,,
Karthus,50.70%,Talon,Caitlyn,Nidalee
Karthus,,Talon+6.6%,Caitlyn+7.6%,Nidalee-10.3%
"Jungler, AD Carry",,,,
Kassadin,52.10%,Rell,Azir,Pantheon
Kassadin,,Rell+8.3%,Azir+8.3%,Pantheon-6.7%
Mid,,,,
Katarina,49.50%,Olaf,Aurelion Sol,Kassadin
Katarina,,Olaf+6.3%,Aurelion Sol+7.0%,Kassadin-6.5%
Mid,,,,
Kayle,50.20%,Samira,Fiora,Jax
Kayle,,Samira+5.9%,Fiora+7.2%,Jax-5.3%
Top,,,,
Kayn,47.40%,Xerath,Lee Sin,Master Yi
Kayn,,Xerath+7.5%,Lee Sin+6.8%,Master Yi-6.9%
Jungler,,,,
Kennen,48.30%,Samira,Jax,Jax
Kennen,,Samira+4.6%,Jax+2.3%,Jax+2.3%
Top,,,,
Kha'Zix,50.30%,Anivia,Jarvan IV,Nocturne
Kha'Zix,,Anivia+7.0%,Jarvan IV+4.9%,Nocturne-6.8%
Jungler,,,,
Kindred,48.90%,Cassiopeia,Ekko,Rammus
Kindred,,Cassiopeia+10.5%,Ekko+4.5%,Rammus-8.1%
Jungler,,,,
Kled,52.70%,Amumu,Aatrox,Shen
Kled,,Amumu+5.9%,Aatrox+8.3%,Shen-8.7%
Top,,,,
Kog'Maw,50.80%,Zed,Lucian,Jhin
Kog'Maw,,Zed+4.5%,Lucian+3.4%,Jhin-3.6%
AD Carry,,,,
LeBlanc,46.60%,Twitch,Ahri,Vex
LeBlanc,,Twitch+6.2%,Ahri+6.8%,Vex-5.0%
Mid,,,,
Lee Sin,46.30%,Nilah,Viego,Amumu
Lee Sin,,Nilah+8.4%,Viego+5.2%,Amumu-4.7%
Jungler,,,,
Leona,49.90%,Akshan,Yuumi,Rakan
Leona,,Akshan+9.2%,Yuumi+13.2%,Rakan-6.0%
Support,,,,
Lillia,50.70%,Shen,Viego,Rengar
Lillia,,Shen+11.2%,Viego+8.2%,Rengar-5.2%
Jungler,,,,
Lissandra,49.70%,Sona,LeBlanc,Cassiopeia
Lissandra,,Sona+9.1%,LeBlanc+6.6%,Cassiopeia-7.3%
Mid,,,,
Lucian,47.80%,Pantheon,Sivir,Ashe
Lucian,,Pantheon+8.1%,Sivir+4.1%,Ashe-3.1%
AD Carry,,,,
Lulu,49.50%,Gragas,Yuumi,Sona
Lulu,,Gragas+6.4%,Yuumi+8.5%,Sona-6.4%
Support,,,,
Lux,50.10%,Rengar,Pantheon,Zoe
Lux,,Rengar+6.6%,Pantheon+8.8%,Zoe-6.7%
"Support, Mid",,,,
Malphite,49.70%,Heimerdinger,Riven,Shen
Malphite,,Heimerdinger+11.2%,Riven+8.9%,Shen-8.1%
Top,,,,
Malzahar,50.50%,Renata Glasc,Zoe,Vex
Malzahar,,Renata Glasc+10.5%,Zoe+8.8%,Vex-6.5%
Mid,,,,
Maokai,53.80%,Vel'Koz,Shyvana,Karthus
Maokai,,Vel'Koz+5.4%,Shyvana+5.9%,Karthus-7.2%
Jungler,,,,
Master Yi,50.10%,Amumu,Jarvan IV,Fiddlesticks
Master Yi,,Amumu+10.0%,Jarvan IV+11.3%,Fiddlesticks-7.2%
Jungler,,,,
Miss Fortune,48.90%,Maokai,Aphelios,Twitch
Miss Fortune,,Maokai+8.3%,Aphelios+5.2%,Twitch-2.7%
AD Carry,,,,
Mordekaiser,49.50%,Darius,K'Sante,Olaf
Mordekaiser,,Darius+7.7%,K'Sante+5.4%,Olaf-6.1%
Top,,,,
Morgana,49.50%,Cassiopeia,Zilean,Renata Glasc
Morgana,,Cassiopeia+9.7%,Zilean+6.1%,Renata Glasc-5.0%
Support,,,,
Nami,50.10%,Pantheon,Yuumi,Rell
Nami,,Pantheon+11.3%,Yuumi+9.5%,Rell-5.0%
Support,,,,
Nasus,50.50%,Maokai,Kayle,Aatrox
Nasus,,Maokai+7.4%,Kayle+4.1%,Aatrox-5.1%
Top,,,,
Nautilus,49.60%,Akshan,Yuumi,Rakan
Nautilus,,Akshan+7.9%,Yuumi+9.9%,Rakan-7.5%
Support,,,,
Neeko,50.50%,Kai'Sa,-,-
Neeko,,Kai'Sa+3.7%,,
"Mid, Support",,,,
Nidalee,50.10%,Amumu,Karthus,Amumu
Nidalee,,Amumu+8.7%,Karthus+9.4%,Amumu-6.9%
Jungler,,,,
Nilah,52.90%,Zac,Tristana,Xayah
Nilah,,Zac+7.7%,Tristana+9.6%,Xayah-7.4%
AD Carry,,,,
Nocturne,50.20%,Sion,Kha'Zix,Amumu
Nocturne,,Sion+7.4%,Kha'Zix+6.3%,Amumu-5.8%
Jungler,,,,
Nunu & Willump,50.80%,Cassiopeia,Lee Sin,Lillia
Nunu & Willump,,Cassiopeia+7.0%,Lee Sin+7.5%,Lillia-8.6%
Jungler,,,,
Olaf,52.90%,Cassiopeia,Riven,Kled
Olaf,,Cassiopeia+7.9%,Riven+6.7%,Kled-6.5%
Top,,,,
Orianna,48.10%,Udyr,Vladimir,Kassadin
Orianna,,Udyr+10.8%,Vladimir+7.3%,Kassadin-5.4%
Mid,,,,
Ornn,50.80%,Lillia,Yorick,Shen
Ornn,,Lillia+5.9%,Yorick+6.9%,Shen-7.9%
Top,,,,
Pantheon,50.60%,Amumu,Sylas,Lux
Pantheon,,Amumu+7.3%,Sylas+7.3%,Lux-9.5%
"Top, Mid, Support",,,,
Poppy,50.00%,Morgana,Jax,Vi
Poppy,,Morgana+7.8%,Jax+5.6%,Vi-0.7%
"Jungler, Top",,,,
Pyke,50.30%,Warwick,Yuumi,Zilean
Pyke,,Warwick+10.4%,Yuumi+6.3%,Zilean-6.0%
Support,,,,
Qiyana,48.80%,Evelynn,Ryze,Talon
Qiyana,,Evelynn+8.3%,Ryze+6.6%,Talon-4.2%
Mid,,,,
Quinn,52.20%,Samira,Jayce,Darius
Quinn,,Samira+5.4%,Jayce+2.5%,Darius-1.0%
Top,,,,
Rakan,51.70%,Fizz,Nautilus,Zyra
Rakan,,Fizz+7.2%,Nautilus+6.2%,Zyra-5.4%
Support,,,,
Rammus,53.10%,Zilean,Viego,Amumu
Rammus,,Zilean+6.1%,Viego+10.6%,Amumu-9.9%
Jungler,,,,
Rek'Sai,51.50%,K'Sante,Lee Sin,Ekko
Rek'Sai,,K'Sante+6.6%,Lee Sin+6.2%,Ekko-8.0%
Jungler,,,,
Rell,52.30%,Kassadin,Amumu,Janna
Rell,,Kassadin+8.1%,Amumu+7.4%,Janna-9.9%
Support,,,,
Renata Glasc,51.30%,Malzahar,Yuumi,Blitzcrank
